""," 1"," 2"," 3"," 4"," 6"," 7"," 8"
"1 ",0,0.024,0.001,0.001,0.001,0.51,0.004
"2 ",0,0,0.003,0.017,0.049,0.539,0.391
"4 ",0,0,0.048,0,0,0,0
"5 ",0.041,0.238,0.001,0.009,0.02,0.413,0.703
"6 ",0,0,0.042,0.06,0,0,0
"7 ",0,0,0.002,0.054,0.2,0,0
"8 ",0,0,0.002,0.046,0.109,0.409,0
